iter	Passed	Remaining
0	266	265882
1	266	133195
2	267	88923
3	268	66836
4	269	53568
5	269	44710
6	270	38377
7	271	33632
8	271	29949
9	272	27004
10	273	24592
11	274	22618
12	275	20922
13	276	19466
14	277	18211
15	278	17109
16	279	16142
17	279	15273
18	280	14495
19	281	13796
20	282	13164
21	283	12588
22	284	12064
23	286	11637
24	286	11187
25	287	10782
26	288	10401
27	289	10048
28	290	9718
29	291	9411
30	292	9131
31	293	8870
32	294	8615
33	294	8375
34	295	8151
35	296	7940
36	297	7737
37	298	7546
38	299	7384
39	300	7212
40	301	7047
41	302	6894
42	303	6752
43	304	6607
44	304	6468
45	305	6338
46	306	6216
47	307	6095
48	308	5978
49	308	5869
50	309	5763
51	310	5661
52	311	5565
53	313	5492
54	314	5401
55	315	5310
56	315	5223
57	316	5142
58	317	5064
59	318	4986
60	319	4912
61	319	4840
62	320	4770
63	321	4703
64	322	4637
65	323	4574
66	323	4511
67	324	4450
68	325	4391
69	326	4335
70	328	4293
71	328	4239
72	329	4186
73	330	4135
74	331	4089
75	332	4042
76	333	3997
77	334	3955
78	335	3914
79	336	3871
80	337	3829
81	338	3790
82	339	3745
83	339	3706
84	340	3667
85	341	3633
86	343	3608
87	345	3578
88	346	3546
89	347	3517
90	348	3484
91	349	3450
92	350	3418
93	351	3388
94	352	3358
95	353	3327
96	354	3296
97	355	3270
98	356	3241
99	356	3212
100	357	3185
101	358	3160
102	359	3132
103	360	3105
104	361	3078
105	361	3052
106	362	3026
107	363	3002
108	364	2977
109	365	2953
110	365	2929
111	366	2905
112	367	2883
113	368	2861
114	368	2838
115	369	2816
116	370	2793
117	370	2772
118	371	2751
119	373	2735
120	374	2717
121	374	2697
122	375	2679
123	376	2662
124	377	2644
125	378	2628
126	379	2609
127	380	2591
128	381	2574
129	382	2557
130	383	2541
131	384	2526
132	385	2510
133	385	2493
134	386	2477
135	387	2464
136	389	2450
137	389	2434
138	390	2419
139	391	2405
140	392	2390
141	392	2373
142	393	2359
143	394	2345
144	395	2330
145	395	2315
146	396	2301
147	397	2288
148	399	2281
149	400	2267
150	400	2254
151	401	2241
152	402	2228
153	403	2216
154	404	2204
155	405	2192
156	406	2180
157	407	2169
158	407	2157
159	408	2146
160	409	2133
161	410	2122
162	411	2110
163	411	2099
164	412	2088
165	413	2079
166	414	2068
167	415	2057
168	416	2046
169	417	2036
170	417	2026
171	418	2016
172	419	2005
173	420	1995
174	421	1986
175	422	1976
176	423	1967
177	423	1957
178	424	1948
179	425	1939
180	426	1929
181	427	1920
182	428	1914
183	430	1907
184	430	1898
185	431	1889
186	432	1881
187	433	1873
188	434	1865
189	435	1856
190	436	1849
191	437	1840
192	438	1832
193	439	1824
194	439	1815
195	440	1807
196	441	1798
197	442	1791
198	443	1784
199	444	1779
200	445	1771
201	446	1763
202	447	1755
203	448	1748
204	448	1741
205	449	1732
206	450	1725
207	451	1717
208	451	1709
209	452	1702
210	453	1694
211	453	1687
212	454	1679
213	455	1672
214	455	1664
215	456	1657
216	457	1650
217	458	1643
218	458	1636
219	459	1629
220	460	1622
221	461	1616
222	461	1609
223	463	1605
224	464	1600
225	465	1594
226	466	1588
227	467	1582
228	468	1576
229	469	1570
230	470	1564
231	471	1559
232	471	1553
233	472	1547
234	473	1542
235	474	1536
236	475	1530
237	476	1524
238	476	1518
239	477	1513
240	479	1510
241	480	1504
242	481	1498
243	481	1493
244	482	1488
245	483	1482
246	484	1477
247	485	1472
248	486	1466
249	487	1461
250	487	1455
251	489	1453
252	490	1448
253	491	1442
254	492	1438
255	494	1435
256	494	1430
257	495	1425
258	496	1420
259	497	1415
260	498	1410
261	499	1405
262	499	1400
263	500	1395
264	501	1390
265	502	1385
266	503	1381
267	503	1376
268	504	1371
269	505	1366
270	506	1361
271	506	1356
272	507	1352
273	508	1347
274	509	1343
275	510	1339
276	511	1334
277	511	1329
278	512	1325
279	513	1320
280	514	1316
281	515	1312
282	516	1308
283	517	1303
284	518	1299
285	519	1296
286	519	1291
287	520	1287
288	521	1282
289	522	1278
290	523	1274
291	524	1270
292	525	1266
293	525	1262
294	526	1258
295	527	1254
296	528	1250
297	529	1246
298	530	1242
299	530	1238
300	531	1234
301	532	1230
302	534	1229
303	535	1226
304	536	1222
305	537	1218
306	538	1215
307	539	1212
308	540	1208
309	541	1205
310	542	1201
311	543	1197
312	543	1193
313	544	1190
314	545	1186
315	546	1182
316	546	1178
317	548	1176
318	549	1172
319	550	1168
320	550	1165
321	551	1161
322	552	1157
323	553	1155
324	554	1151
325	555	1148
326	556	1144
327	556	1141
328	557	1137
329	558	1134
